molecule,FRET_before,FRET_after,Time,number_of_frames,treatment,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s),transition_name
153_02_Misfolded_1.0,0.665511,0.470381,22,381,02_Misfolded,1.0,high-low,low-high,False,22,4.4,$T_{high-low}$
215_02_Misfolded_1.0,0.880259,0.351027,24,26,02_Misfolded,1.0,high-low,,False,24,4.800000000000001,$T_{high-low}$
229_02_Misfolded_1.0,0.809022,0.481727,67,116,02_Misfolded,1.0,high-low,,False,67,13.4,$T_{high-low}$
236_02_Misfolded_1.0,0.744916,0.447873,81,428,02_Misfolded,1.0,high-low,,False,81,16.2,$T_{high-low}$
236_02_Misfolded_1.0,0.447873,0.620982,16,428,02_Misfolded,1.0,low-high,high-low,False,16,3.2,$T_{low-high}$
236_02_Misfolded_1.0,0.620982,0.447873,79,428,02_Misfolded,1.0,high-low,low-high,False,79,15.8,$T_{high-low}$
236_02_Misfolded_1.0,0.447873,0.620982,13,428,02_Misfolded,1.0,low-high,high-low,False,13,2.6,$T_{low-high}$
236_02_Misfolded_1.0,0.744916,0.447873,23,428,02_Misfolded,1.0,high-low,high-high,False,211,42.2,$T_{high-low}$
236_02_Misfolded_1.0,0.447873,0.620982,2,428,02_Misfolded,1.0,low-high,high-low,False,2,0.4,$T_{low-high}$
265_02_Misfolded_1.0,0.881284,0.498578,73,152,02_Misfolded,1.0,high-low,,False,73,14.6,$T_{high-low}$
001_03_A8A2_2.0,0.100076,0.734462,21,35,03_A8A2,2.0,low-high,,False,21,4.2,$T_{low-high}$
003_03_A8A2_1.0,0.137065,0.688162,138,145,03_A8A2,1.0,low-high,,False,138,27.6,$T_{low-high}$
003_03_A8A2_1.0,0.688162,0.137065,6,145,03_A8A2,1.0,high-low,low-high,False,6,1.2000000000000002,$T_{high-low}$
003_03_A8A2_2.0,0.070007,1.01453,312,315,03_A8A2,2.0,low-high,,False,312,62.400000000000006,$T_{low-high}$
004_03_A8A2_2.0,0.056018,0.700356,22,1800,03_A8A2,2.0,low-high,,False,22,4.4,$T_{low-high}$
004_03_A8A2_2.0,0.700356,0.056018,4,1800,03_A8A2,2.0,high-low,low-high,False,4,0.8,$T_{high-low}$
004_03_A8A2_2.0,0.056018,0.700356,105,1800,03_A8A2,2.0,low-high,low-low,False,1586,317.20000000000005,$T_{low-high}$
004_03_A8A2_2.0,0.700356,0.056018,5,1800,03_A8A2,2.0,high-low,low-high,False,5,1.0,$T_{high-low}$
004_03_A8A2_2.0,0.158069,0.700356,8,1800,03_A8A2,2.0,low-high,low-low,False,8,1.6,$T_{low-high}$
005_03_A8A2_1.0,0.057627,0.703443,2,985,03_A8A2,1.0,low-high,low-low,False,963,192.6,$T_{low-high}$
005_03_A8A2_2.0,0.49778,0.611677,11,1360,03_A8A2,2.0,low-high,low-low,False,75,15.0,$T_{low-high}$
005_03_A8A2_2.0,0.611677,0.49778,19,1360,03_A8A2,2.0,high-low,low-high,False,19,3.8,$T_{high-low}$
005_03_A8A2_2.0,0.49778,0.611677,23,1360,03_A8A2,2.0,low-high,high-low,False,23,4.6000000000000005,$T_{low-high}$
005_03_A8A2_2.0,0.611677,0.49778,10,1360,03_A8A2,2.0,high-low,low-high,False,10,2.0,$T_{high-low}$
005_03_A8A2_2.0,0.49778,0.611677,142,1360,03_A8A2,2.0,low-high,high-low,False,142,28.4,$T_{low-high}$
005_03_A8A2_2.0,0.611677,0.49778,28,1360,03_A8A2,2.0,high-low,low-high,False,28,5.6000000000000005,$T_{high-low}$
005_03_A8A2_2.0,0.49778,0.611677,44,1360,03_A8A2,2.0,low-high,low-low,False,65,13.0,$T_{low-high}$
005_03_A8A2_2.0,0.611677,0.49778,24,1360,03_A8A2,2.0,high-low,low-high,False,24,4.800000000000001,$T_{high-low}$
