frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
791,3130.748,8227.359,0.72436,0.560586,55,03_A8A2,1.0,055_03_A8A2_1.0,12,28,950,True,60.0,0.292239,0.560586,False
185,3937.948,9682.526,0.71088,0.798851,56,03_A8A2,1.0,056_03_A8A2_1.0,2,26,210,True,184.0,0.212222,0.798851,False
200,2892.479,11301.9,0.796224,0.548763,57,03_A8A2,1.0,057_03_A8A2_1.0,2,21,330,True,199.0,0.069096,0.548763,False
793,9033.702,4137.764,0.314146,0.698253,58,03_A8A2,2.0,058_03_A8A2_2.0,2,3,1155,True,792.0,0.0865,0.698253,False
124,2297.554,10472.34,0.82008,0.776233,61,03_A8A2,1.0,061_03_A8A2_1.0,2,27,150,True,123.0,0.094296,0.776233,False
349,7278.759,8502.341,0.538767,0.712078,64,03_A8A2,1.0,064_03_A8A2_1.0,2,9,740,True,348.0,0.093885,0.712078,False
480,779.795,16152.47,0.953946,0.712078,64,03_A8A2,1.0,064_03_A8A2_1.0,4,21,740,True,122.0,0.093885,0.712078,False
684,9077.238,4909.944,0.351032,0.712078,64,03_A8A2,1.0,064_03_A8A2_1.0,6,2,740,True,183.0,0.093885,0.712078,False
205,5752.8,5429.558,0.485547,0.638677,67,03_A8A2,1.0,067_03_A8A2_1.0,2,10,625,True,204.0,0.086622,0.638677,False
433,6151.057,7024.193,0.533135,0.638677,67,03_A8A2,1.0,067_03_A8A2_1.0,4,4,625,True,218.0,0.086622,0.638677,False
602,2614.717,11041.693,0.808536,0.638677,67,03_A8A2,1.0,067_03_A8A2_1.0,6,23,625,True,165.0,0.086622,0.638677,False
504,1152.919,12861.453,0.917733,0.927436,68,03_A8A2,1.0,068_03_A8A2_1.0,2,32,535,True,503.0,0.073089,0.927436,False
111,7074.37,25938.051,0.785706,0.809155,69,03_A8A2,2.0,069_03_A8A2_2.0,2,5,115,True,110.0,0.067331,0.809155,False
407,1094.585,3613.94,0.767531,0.901104,70,03_A8A2,2.0,070_03_A8A2_2.0,13,27,432,True,56.0,0.078136,0.901104,False
57,909.266,4184.376,0.82149,0.655735,73,03_A8A2,1.0,073_03_A8A2_1.0,2,9,65,True,56.0,0.009539,0.655735,False
537,455.077,8665.611,0.950105,0.944073,73,03_A8A2,2.0,073_03_A8A2_2.0,2,8,545,True,536.0,0.033863,0.944073,False
837,4597.257,12866.973,0.736762,0.8799,74,03_A8A2,1.0,074_03_A8A2_1.0,2,9,845,True,836.0,0.03742,0.8799,False
103,2460.856,4727.958,0.657683,0.63807,75,03_A8A2,1.0,075_03_A8A2_1.0,2,13,150,True,102.0,0.395282,0.63807,False
199,5179.694,6235.24,0.546235,0.5049,76,03_A8A2,1.0,076_03_A8A2_1.0,2,17,315,True,198.0,0.076762,0.5049,False
158,7299.179,8874.448,0.548699,0.898876,77,03_A8A2,1.0,077_03_A8A2_1.0,2,8,165,True,157.0,0.089363,0.898876,False
1362,3695.092,4031.849,0.521791,0.696383,77,03_A8A2,2.0,077_03_A8A2_2.0,2,14,1375,True,1361.0,0.102189,0.696383,False
422,3893.518,3112.498,0.444261,0.64176,78,03_A8A2,1.0,078_03_A8A2_1.0,3,3,585,True,58.0,0.201921,0.64176,False
80,1070.398,12083.251,0.918623,0.871673,80,03_A8A2,1.0,080_03_A8A2_1.0,2,6,85,True,79.0,0.113692,0.871673,False
219,2318.238,4697.354,0.669559,0.655916,82,03_A8A2,1.0,082_03_A8A2_1.0,2,27,245,True,218.0,0.124595,0.655916,False
61,7652.878,7504.837,0.495117,0.534947,83,03_A8A2,2.0,083_03_A8A2_2.0,2,13,410,True,60.0,0.09857,0.534947,False
283,3924.394,9000.283,0.696364,0.783255,84,03_A8A2,1.0,084_03_A8A2_1.0,2,19,345,True,282.0,0.065536,0.783255,False
